ID,AGE_GROUP,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TAXID,CREDITCARD,DOB,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,ZIP4,LONGITUDE,LATITUDE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,NETREALIZEDLOSSES_YTD
261,"Adult","High","F","S",2,+0016938.50,"N",55,"150668593","9042079196395488",19870103,"3215 CASTLE DR SW",,"FARWELL","MI","48622","0",,,+0013351.34,8,6675,667,+0002.00,1,7,+00000000.0000,+00000667.56700
262,"Adult","High","F","M",0,+0055221.00,"N",42,"715910324","4504518571019351",19540407,"1001 THRASHER RD",,"GLASFORD","IL","61533","0",,,+0000490.05,15,122,12,+0002.25,4,18,+00000000.0000,+00000024.50250
263,"Adult","High","F","M",1,+0008073.11,"N",43,"145630043","7280457467098054",19880602,"1 DEERFIELD LN",,"HARLINGEN","TX","78552","7063",,,+0028702.87,60,14351,1435,+0015.00,3,6,+00000000.0000,+00001435.14350
1024,"Adult","High","M","M",1,+0120000.00,"N",64,"198555932","3490085459956604",19631227,"27457 KEYS AVE",,"HUNTSVILLE","AL","35810","0",,,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
1025,"Young adult","Low","F","S",2,+0003416.62,"Y",23,"100747265","2437250356327529",19460116,"100 ANDREWS DR",,"APO","AE","09094","3235",,,+0018971.90,104,9485,948,+0026.00,5,9,+00000948.5950,+00000000.00000
1026,"Adult","High","F","M",0,+0073069.10,"Y",56,"799046017","6120672402221105",19040605,"7980 144TH AVE NE",,"MANATI","PR","0674","0",,,+0000170.02,10,42,4,+0001.50,4,18,+00000000.0000,+00000008.50100
1027,"Adult","Medium","M","M",1,+0080000.00,"Y",53,"409831493","5704327734895548",19831106,"HC 74 BOX 2078",,"ISABELA","PR","0662","0",,,+0015271.53,25,7635,763,+0006.25,4,6,+00000000.0000,+00000763.57650
1028,"Adult","High","F","M",2,+0008032.16,"N",46,"208603514","8267458149184257",19320521,"409 EVANS ST",,"BURKESVILLE","KY","42717","0",-085.362037,+036.792744,+0029682.97,59,14841,1484,+0014.75,2,5,+00000000.0000,+00001484.14850
1029,"Adult","Low","F","D",1,+0093454.30,"Y",49,"152516795","1826169409741925",19420112,"3565 E 600 N",,"LOVELAND","OH","45140","0",,,+0018941.89,25,9470,947,+0006.25,3,6,+00000947.0945,+00000000.00000
1030,"Child","High","M","M",0,+0005745.00,"Y",15,"196506015","3954253469370077",19680202,"10859 AIRPORT BLVD",,"COLLINSVILLE","OK","74021","0",,,+0026402.64,17,13201,1320,+0004.25,3,5,+00000000.0000,+00001320.13200
1031,"Adult","Low","F","S",0,+0092564.10,"Y",49,"367299617","7808964390869231",19900705,"3803 EBONY HOLLOW PASS",,"CAMAK","GA","30807","2007",,,+0023172.32,51,11586,1158,+0012.75,3,6,+00001158.6160,+00000000.00000
1032,"Adult","Medium","F","M",2,+0048322.50,"Y",49,"124819934","7635710907548812",19410717,"124 BEVERLY HILLS TER APT G",,"WHITNEY","TX","76692","0",-097.324454,+031.954552,+0006690.67,43,1672,167,+0006.45,1,14,+00000000.0000,+00000167.26675
1033,"Adult","Medium","F","M",2,+0081913.80,"Y",50,"185371097","3391753542450907",19050316,"100 BASSFORD DR",,"LIVERPOOL","PA","17045","0",,,+0006700.67,46,1675,167,+0006.90,2,11,+00000000.0000,+00000167.51675
1034,"Adult","Low","F","S",0,+0000919.93,"N",38,"622892469","6162955995466506",19740206,"8218 2 MILE RD NE",,"MARIETTA","TX","75566","0",,,+0027282.73,93,13641,1364,+0023.25,4,9,+00001364.1365,+00000000.00000
1035,"Adult","Medium","F","M",2,+0069486.80,"N",31,"264186500","9073137564656694",19770514,"529 S JACKSON ST STE 435",,"MICHIGAN CITY","IN","46360","0",-086.896201,+041.717369,+0007720.77,9,1930,193,+0001.35,3,10,+00000000.0000,+00000193.01925
1036,"Adult","High","F","M",2,+0024482.80,"N",34,"310149263","6668382847305529",19760615,"561 S BAY ST",,"HUNTSVILLE","UT","84317","0",,,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
1037,"Adult","Medium","F","M",2,+0092103.80,"N",52,"203525128","8797730467005426",19630816,"2800 EISENHOWER AVE",,"ASHVILLE","AL","35953","0",,,+0007420.74,7,1855,185,+0001.05,3,10,+00000000.0000,+00000185.51850
1038,"Adult","Low","F","S",2,+0008392.14,"Y",37,"148397074","4337664100230442",19640908,"PSC 7 BOX 1099",,"ARECIBO","PR","0612","0",,,+0025032.50,54,12516,1251,+0013.50,4,7,+00001251.6250,+00000000.00000
1039,"Adult","Low","F","S",0,+0017138.20,"N",64,"115063117","6995283179451208",19440130,"9296 ROBERTS RD SE",,"HACKENSACK","NJ","07601","0",,,+0020012.00,84,10006,1000,+0021.00,2,6,+00001000.6000,+00000000.00000
1040,"Adult","Medium","F","M",2,+0047010.10,"N",57,"106707991","9035242681108207",19130331,"4920 N 550 E",,"NEW ROADS","LA","70760","0",-091.430981,+030.703060,+0002540.25,164,635,63,+0024.60,3,15,+00000000.0000,+00000063.50625
1041,"Adult","High","F","S",0,+0067239.40,"N",44,"101874071","7785894330200531",19610828,"11050 BROADWAY TER",,"ANTLERS","OK","74523","0",-095.621337,+034.232413,+0012891.29,53,6445,644,+0013.25,2,7,+00000000.0000,+00000644.56450
1042,"Adult","Medium","M","M",1,+0069406.70,"Y",47,"105482048","2758707196926949",19350928,"25036 SECT MEJIAS",,"DALLAS","TX","75206","5048",,,+0006900.69,128,1725,172,+0019.20,1,10,+00000000.0000,+00000172.51725
1043,"Adult","High","F","M",2,+0083259.30,"N",51,"197428911","8300194438048645",19481108,"3556 W TREYBURN PATH",,"GADSDEN","AL","35905","8844",,,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
1044,"Child","Medium","M","M",1,+0020818.50,"N",13,"701267519","8989224516169765",19310201,"797 W MOUNT CARMEL RD",,"WINDSOR LOCKS","CT","06096","0",-072.629266,+041.932197,+0009130.91,47,2282,228,+0007.05,4,13,+00000000.0000,+00000228.27275
1045,"Adult","High","F","M",2,+0002185.60,"N",53,"178008102","1002661662305581",19680812,"221 S WARREN ST STE 100",,"MAGNOLIA","TX","77355","0",,,+0007120.71,20,1780,178,+0003.00,2,18,+00000000.0000,+00000356.03550
1046,"Adult","Low","M","M",1,+0076511.30,"N",62,"104063810","9093016628966797",19440220,"14301 NEGUNDO AVE",,"EL PASO","TX","79925","0",-106.344110,+031.794880,+0021682.17,17,10841,1084,+0004.25,5,10,+00001084.1085,+00000000.00000
1047,"Young adult","High","F","M",1,+0006946.07,"N",20,"875759565","1805909736829772",19830927,"1072 16TH AVE SW",,"CARSON","WA","98610","0",,,+0043004.30,8,21502,2150,+0002.00,5,10,+00000000.0000,+00002150.21500
1048,"Adult","Medium","F","M",2,+0011234.70,"Y",49,"193609901","6219178449012117",19220202,"14701 JASMINE AVE",,"ONEONTA","NY","13820","1240",-075.065846,+042.447392,+0000690.07,112,172,17,+0016.80,1,15,+00000000.0000,+00000017.25175
1049,"Adult","High","F","M",2,+0036660.90,"Y",40,"241010362","5737001045949033",19970530,"1 MONOMOYIC WAY",,"WORCESTER","NY","12197","0",,,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
1050,"Adult","High","F","M",2,+0068462.80,"N",34,"143079837","3081982988868768",19610824,"842 N HUGHES ST",,"RIVERTON","UT","84065","0",,,+0024392.44,60,12196,1219,+0015.00,2,7,+00000000.0000,+00001219.62200
1051,"Adult","Low","F","M",2,+0072841.30,"N",47,"139489175","5725098949431380",19180929,"6694 5TH AVE N APT 1",,"N TONAWANDA","NY","14120","0",,,+0010361.04,72,5180,518,+0018.00,2,10,+00000518.0520,+00000000.00000
1052,"Adult","Low","M","M",1,+0063670.80,"Y",46,"173817482","5006991154567935",19630524,"78 PINE ST",,"FORKED RIVER","NJ","08731","0",,,+0027392.74,51,13696,1369,+0012.75,3,9,+00001369.6370,+00000000.00000
1053,"Adult","High","M","M",0,+0012387.60,"N",56,"178404195","3769291153099289",19900830,"3061 W TANYA RD",,"EL CAMPO","TX","77437","0",-096.282111,+029.177636,+0003000.30,65,750,75,+0009.75,5,16,+00000000.0000,+00000150.01500
1054,"Senior","High","F","M",1,+0082931.30,"N",65,"888516742","4212828396169950",19610307,"430 W GROVE",,"MATTESON","IL","60443","0",,,+0019241.92,118,9620,962,+0029.50,2,10,+00000000.0000,+00000962.09600
1055,"Adult","Low","F","M",2,+0057483.90,"N",44,"118931565","1412373934208845",19270521,"1250 OVINGTON AVE",,"REGO PARK","NY","11374","0",,,+0017011.70,27,8505,850,+0006.75,1,10,+00000850.5850,+00000000.00000
1056,"Adult","Low","F","S",2,+0021274.00,"N",46,"644030965","1750363796767167",19780915,"3653 FAIRVIEW ST SW",,"FORT MYERS BEACH","FL","33931","0",,,+0010871.09,32,5435,543,+0008.00,1,5,+00000543.5545,+00000000.00000
1057,"Adult","Low","F","M",2,+0028267.00,"N",30,"168756275","7338700543381098",19650810,"2300 5TH AVE NE",,"DALLAS","TX","75390","9110",,,+0021872.19,192,10936,1093,+0048.00,3,5,+00001093.6095,+00000000.00000
1058,"Adult","Medium","F","M",2,+0036725.10,"N",56,"421724649","2970609717155426",19420501,"1 VIRICK RD",,"MISSION","TX","78574","0",,,+0008650.87,77,2162,216,+0011.55,1,13,+00000000.0000,+00000216.27175
1059,"Adult","High","M","S",1,+0094188.30,"N",58,"582582459","1346191348482039",19420312,"RR 3 BOX 239",,"UNION","WA","98592","0",,,+0020862.09,19,10431,1043,+0004.75,4,8,+00000000.0000,+00001043.10450
1060,"Adult","Low","F","M",2,+0091861.00,"Y",42,"106524706","7136842664677737",19380928,"933 CURTISS ST STE 1",,"WEST NEWTON","MA","02465","0",,,+0015321.53,6,7660,766,+0001.50,3,9,+00000766.0765,+00000000.00000
1061,"Adult","Low","F","S",1,+0012374.90,"Y",33,"239301157","6456568145155483",19100605,"1145 BOYNTON AVE APT 6A",,"MATTAPAN","MA","02126","0",-071.078860,+042.271906,+0017491.75,106,8745,874,+0026.50,5,5,+00000874.5875,+00000000.00000
1062,"Young adult","Medium","F","M",2,+0069133.90,"Y",27,"949882077","1937107033550108",19320915,"3715 W FAITH HL APT 1",,"WEST POINT","GA","31833","0",-085.163644,+032.879447,+0008580.86,37,2145,214,+0005.55,1,12,+00000000.0000,+00000214.52150
1063,"Young adult","Low","F","M",2,+0084948.00,"Y",29,"165962765","8088684358240629",19110521,"PO BOX 1440",,"EATON RAPIDS","MI","48827","0",,,+0011141.11,12,5570,557,+0003.00,3,10,+00000557.0555,+00000000.00000
1064,"Adult","Medium","F","M",2,+0030998.80,"N",41,"209301212","4236769124411159",19150820,"1130 BALTIMORE BLVD STE A",,"EXCELSIOR","MN","55331","0",,,+0002400.24,50,600,60,+0007.50,5,15,+00000000.0000,+00000060.00600
1065,"Adult","Medium","M","M",2,+0021416.50,"N",36,"157277454","2091675853331298",19481022,"2 CALLE 2 LA ALDEA",,"TAMPA","FL","33614","0",,,+0009900.99,8,2475,247,+0001.20,1,10,+00000000.0000,+00000247.52475
1066,"Child","Medium","M","S",0,+0078554.20,"N",17,"430149265","9657079063785480",19771108,"4018 WESTAWAY DR",,"TEKAMAH","NE","68061","0",-096.215087,+041.776851,+0005590.56,23,1397,139,+0003.45,3,15,+00000000.0000,+00000139.76400
1067,"Child","Low","M","S",1,+0003960.50,"N",15,"255677743","2298176532635666",19230310,"70 W MEADOW RD APT 22",,"AQUILLA","TX","76622","0",,,+0029782.98,66,14891,1489,+0016.50,4,9,+00001489.1490,+00000000.00000
1068,"Adult","Low","M","M",0,+0060101.10,"Y",64,"146054218","3892860141194967",19010714,"6857 NW 179TH ST",,"FORT WORTH","TX","76112","0",,,+0027702.77,124,13851,1385,+0031.00,2,5,+00001385.1385,+00000000.00000
1069,"Adult","High","F","M",2,+0038215.90,"N",31,"191412001","2190084588682686",19840716,"3484 E TERRACE AVE",,"EAST CANAAN","CT","06024","0",,,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
1070,"Young adult","High","F","M",1,+0013829.40,"N",19,"140630891","7608669981430678",19670409,"4489 E PUEBLO AVE",,"FLUSHING","NY","11354","0",-073.831070,+040.765756,+0042004.20,160,21002,2100,+0040.00,5,9,+00000000.0000,+00002100.21000
1071,"Adult","High","F","M",2,+0049745.30,"N",48,"380138448","2907015543081007",19451117,"200 N COMRIE AVE STE 3",,"OCEAN ISLE BEACH","NC","28469","0",,,+0002840.28,24,710,71,+0003.60,4,16,+00000000.0000,+00000142.01400
1072,"Child","Low","F","M",2,+0088427.00,"N",14,"785377083","1035081673165178",19770418,"481 MANILA AVE",,"MURPHYSBORO","IL","62966","0",-089.331588,+037.765924,+0022462.25,43,11231,1123,+0010.75,3,8,+00001123.1125,+00000000.00000
1073,"Young adult","Medium","F","M",2,+0098003.70,"Y",26,"151179096","2161896262097900",19340211,"PO BOX 29560",,"FARGO","ND","58103","0",-096.784024,+046.872293,+0001030.10,83,257,25,+0012.45,5,15,+00000000.0000,+00000025.75250
1074,"Adult","High","M","S",0,+0089142.70,"N",54,"206943917","3451578055098579",19360925,"811AI DALLAS ST STE 1407",,"HANSON","MA","02341","0",-070.862022,+042.040600,+0003760.38,5,940,94,+0000.75,1,19,+00000000.0000,+00000188.01900
1075,"Adult","Low","F","S",0,+0074530.80,"N",63,"148664460","6742153586791021",19080522,"25 WESTCHESTER SQ FRNT 1",,"YAUCO","PR","0698","0",,,+0020892.09,106,10446,1044,+0026.50,2,7,+00001044.6045,+00000000.00000
1076,"Young adult","High","F","S",0,+0030000.00,"N",23,"114438833","5856940623515043",19911031,"18469 CALLE 16",,"GAINESVILLE","FL","32607","0",-082.408748,+029.643582,+0045004.50,262,22502,2250,+0065.50,3,6,+00000000.0000,+00002250.22500
1077,"Adult","Medium","F","M",2,+0076289.20,"N",48,"124758202","4748591177998664",19691222,"PO BOX 85",,"DORA","AL","35769","0",,,+0022202.22,82,11101,1110,+0020.50,4,6,+00000000.0000,+00001110.11100
1078,"Adult","Low","M","M",1,+0066931.90,"N",64,"214920520","3014455546664659",19230325,"30254 JENSEN RD E",,"EL RENO","OK","73036","0",,,+0011721.17,5,5860,586,+0001.25,2,10,+00000586.0585,+00000000.00000
1079,"Young adult","Medium","M","M",2,+0009309.57,"Y",25,"933003707","6726961102772602",19131204,"270 PARKS CROSSING RD",,"OSWEGO","NY","13126","6670",,,+0008560.86,99,2140,214,+0014.85,1,10,+00000000.0000,+00000214.02150
1080,"Young adult","Low","F","M",1,+0014085.50,"N",24,"148859238","8216216866719405",19980628,"RR 2 BOX 261A",,"INDIANAPOLIS","IN","46204","0",-086.149273,+039.774641,+0029002.90,26,14501,1450,+0006.50,4,7,+00001450.1450,+00000000.00000
1081,"Young adult","Low","F","S",0,+0032962.60,"N",24,"164571889","2572820059666563",19261116,"164 CALLE LA PAZ",,"AUSTIN","TX","78704","0",,,+0045004.50,154,22502,2250,+0038.50,3,9,+00002250.2250,+00000000.00000
1082,"Young adult","High","F","S",0,+0035000.00,"N",23,"180411812","7412039717716836",19320902,"1187 W 345 S",,"MOORESTOWN","NJ","08057","0",,,+0033003.30,61,16501,1650,+0015.25,4,10,+00000000.0000,+00001650.16500
1083,"Young adult","High","F","S",2,+0039000.00,"N",22,"166240986","5931251795042177",19501227,"64 CALLE E",,"NORWOOD YOUNG AMERICA","MN","55368","0",,,+0028002.80,35,14001,1400,+0008.75,1,10,+00000000.0000,+00001400.14000
1084,"Adult","Low","F","S",0,+0077726.40,"N",57,"128227720","1715092236887443",19590715,"6437 22ND AVE S",,"MORGANTON","NC","28655","0",-081.675063,+035.753489,+0014001.40,9,7000,700,+0002.25,2,7,+00000700.0700,+00000000.00000
1085,"Young adult","Low","F","S",2,+0042000.00,"N",19,"106892855","9638443225671701",19241214,"537 GARDEN ST STE A",,"STAFFORD","CT","06075","0",,,+0025772.58,38,12886,1288,+0009.50,4,8,+00001288.6290,+00000000.00000
1086,"Adult","Low","F","S",1,+0002800.68,"N",46,"167430302","1229286333268627",19090621,"883 W 17TH ST",,"VALLEY COTTAGE","NY","10989","0",,,+0028452.85,106,14226,1422,+0026.50,4,9,+00001422.6425,+00000000.00000
1087,"Adult","High","F","M",2,+0090271.60,"N",45,"192630816","2360519271013843",19270507,"1375 83RD ST N",,"HUDSON","MA","01749","0",-071.586809,+042.400279,+0013961.40,96,6980,698,+0024.00,2,5,+00000000.0000,+00000698.07000
1088,"Adult","Low","F","M",2,+0064816.60,"Y",31,"609007666","7511745467362261",19210830,"RR 17 BOX 129",,"MELVIN","MI","48454","0",,,+0021002.10,6,10501,1050,+0001.50,3,8,+00001050.1050,+00000000.00000
1089,"Adult","Low","F","M",2,+0098217.10,"N",45,"209602767","6270059392459443",19931020,"9851 64TH AVE APT 5A",,"PHILLIPS RANCH","CA","91766","0",,,+0029492.95,13,14746,1474,+0003.25,4,7,+00001474.6475,+00000000.00000
1090,"Adult","Low","F","S",1,+0002929.13,"N",54,"361406977","5906035797631740",19690716,"12 E RIVER ST",,"MAYAGUEZ","PR","0680","2028",,,+0014001.40,88,7000,700,+0022.00,3,5,+00000700.0700,+00000000.00000
1091,"Adult","High","F","M",2,+0041876.60,"Y",44,"167425473","5905213805024935",19600528,"831 S VAN BUREN ST",,"CLEARLAKE OKS","CA","95423","0",,,+0006780.68,132,1695,169,+0019.80,1,17,+00000000.0000,+00000339.03400
1092,"Senior","Low","M","M",0,+0096223.40,"Y",65,"187845180","7764190643929869",19930501,"PO BOX 172351",,"BRONX","NY","10459","2593",-073.900718,+040.822368,+0011811.18,5,5905,590,+0001.25,2,6,+00000590.5590,+00000000.00000
1093,"Adult","Medium","F","S",0,+0015989.30,"N",62,"131128905","1110280004502385",19330507,"494 FIERY HILL RD",,"BABYLON","NY","11702","0",,,+0003670.37,25,917,91,+0003.75,5,16,+00000000.0000,+00000183.51850
1094,"Adult","High","M","M",0,+0069168.40,"Y",62,"184021749","5044336445553342",19021122,"8209 25TH AVE N",,"ROMA","TX","78584","0",-099.004760,+026.404839,+0014161.42,214,7080,708,+0053.50,4,5,+00000000.0000,+00000708.07100
1095,"Adult","Medium","M","M",1,+0092148.50,"Y",30,"133373660","8806498822668088",19400124,"1 CALLE 2 DE GRAN VISTA",,"NAZARETH","PA","18064","0",-075.318602,+040.741990,+0007000.70,100,1750,175,+0015.00,2,15,+00000000.0000,+00000175.01750
1096,"Young adult","High","M","M",0,+0096681.00,"Y",20,"736579952","7432506022229145",19240226,"PO BOX 11208",,"LEECHBURG","PA","15656","0",,,+0008000.80,40,2000,200,+0006.00,5,18,+00000000.0000,+00000400.04000
1097,"Adult","High","M","S",0,+0062705.90,"Y",38,"122883114","3995734009513667",19220929,"2 WOODS AVE",,"LOVELAND","CO","80537","0",,,+0009000.90,6,2250,225,+0000.90,5,15,+00000000.0000,+00000450.04500
1098,"Young adult","Medium","M","S",0,+0080221.20,"N",29,"389051403","7026943431339654",19050402,"711 ELM ST",,"SCHENECTADY","NY","12303","0",,,+0007000.70,49,1750,175,+0007.35,3,15,+00000000.0000,+00000175.01750
1099,"Adult","High","M","S",0,+0084479.20,"N",39,"496384915","7702701527295718",19250910,"4298 FRANK CEM RD",,"DALLAS","TX","75229","0",,,+0002000.20,43,500,50,+0006.45,1,17,+00000000.0000,+00000100.01000
1100,"Adult","Low","F","M",2,+0064977.40,"N",38,"203700312","8824950153573417",19380521,"79 GASPER RD",,"ADA","OK","74820","0",-096.681753,+034.786920,+0028112.81,17,14056,1405,+0004.25,5,9,+00001405.6405,+00000000.00000
1101,"Adult","Low","F","M",0,+0077994.00,"N",51,"179536031","8842425853985411",19610817,"201 E FLONTAT DR",,"LOCKPORT","NY","14094","0",-078.694549,+043.171331,+0012401.24,89,6200,620,+0022.25,4,5,+00000620.0620,+00000000.00000
1102,"Adult","Low","M","M",2,+0090103.70,"N",35,"429776939","3314033682951256",19020903,"9458 FAIRFAX BLVD",,"TULARE","CA","93274","0",-119.349286,+036.206883,+0012231.22,45,6115,611,+0011.25,5,8,+00000611.5610,+00000000.00000
1103,"Adult","Low","F","M",0,+0059008.40,"Y",30,"674896563","3095232452126106",19150908,"2481 STATE ROUTE 69 PMB 978",,"JACKSONVILLE","OR","97530","0",,,+0012861.29,18,6430,643,+0004.50,3,10,+00000643.0645,+00000000.00000
1104,"Adult","Medium","M","S",1,+0005265.35,"N",53,"115966763","2253053931283821",19261103,"1398 N MAIN ST",,"CANASTOTA","NY","13032","0",,,+0002330.23,23,582,58,+0003.45,1,12,+00000000.0000,+00000058.25575
1105,"Young adult","Medium","M","S",1,+0084978.10,"N",22,"636720856","3342358601212291",19390529,"5071 MARLAND AVE SW",,"ASBURY PARK","NJ","07712","0",-074.015520,+040.224029,+0005030.50,76,1257,125,+0011.40,3,15,+00000000.0000,+00000125.76250
1106,"Adult","Low","F","M",2,+0036647.90,"N",50,"140575185","3930760756568914",19660127,"7017 E STATE HIGHWAY 154",,"WINNETKA","CA","91306","0",,,+0021412.14,85,10706,1070,+0021.25,3,9,+00001070.6070,+00000000.00000
1107,"Adult","High","F","S",0,+0064319.20,"N",41,"156572321","1475322078500278",19180903,"33 MILL ST # 9231 # 1554",,"HOBOKEN","NJ","07030","2031",-074.040971,+040.741928,+0003010.30,37,752,75,+0005.55,3,19,+00000000.0000,+00000150.51500
1108,"Adult","High","F","S",1,+0073338.00,"N",48,"188430287","1454633319846242",19400626,"466 ELLIOTT ST SE",,"ASTORIA","NY","11106","0",-073.936567,+040.760399,+0020922.09,9,10461,1046,+0002.25,4,9,+00000000.0000,+00001046.10450
1109,"Adult","Medium","F","S",0,+0000433.74,"N",61,"228978039","4026853517383760",19310421,"1258 JONES RD",,"LOUISVILLE","KY","40291","3936",,,+0003300.33,40,825,82,+0006.00,4,13,+00000000.0000,+00000082.50825
1110,"Adult","Low","F","M",2,+0016962.20,"N",45,"108957602","1199471155570358",19630912,"99 STATE ROUTE 186",,"SAN FERNANDO","CA","91340","0",,,+0018601.86,8,9300,930,+0002.00,1,7,+00000930.0930,+00000000.00000
1111,"Young adult","High","M","M",2,+0010708.30,"N",26,"122541161","1312779003962782",19280129,"3905 HYRIDGE DR",,"HUNTSVILLE","AL","35810","0",,,+0020832.08,117,10416,1041,+0029.25,4,9,+00000000.0000,+00001041.60400
1112,"Young adult","Low","F","M",0,+0002031.61,"N",20,"187469693","5765927148676948",19890411,"22272 HIGHWAY 52 # 11158",,"FLORA","IN","46929","0",,,+0021642.16,87,10821,1082,+0021.75,3,10,+00001082.1080,+00000000.00000
1113,"Adult","Low","F","S",2,+0016938.50,"N",46,"126998784","5029778846183417",19270621,"PO BOX 1893",,"BRONX","NY","10469","0",,,+0013351.34,8,6675,667,+0002.00,2,6,+00000667.5670,+00000000.00000
1114,"Adult","High","F","M",0,+0055221.00,"N",61,"740337829","6012126776882551",19100302,"172 BLEECKER ST APT 2",,"NORTH PLAINFIELD","NJ","07060","0",-074.417000,+040.625305,+0000490.05,15,122,12,+0002.25,1,20,+00000000.0000,+00000024.50250
1115,"Adult","High","F","M",1,+0008073.11,"N",55,"100949048","3088162176681632",19371201,"THREE RIVERS LOCAL SCH",,"KINGSTON","PA","18704","0",-075.881669,+041.256678,+0028702.87,60,14351,1435,+0015.00,3,5,+00000000.0000,+00001435.14350
1116,"Adult","High","M","M",0,+0095448.60,"Y",54,"191432747","2952282149632472",19520604,"4400 PARKCOURT LN",,"PLANO","TX","75023","0",-096.730966,+033.062712,+0024242.42,5,12121,1212,+0001.25,3,7,+00000000.0000,+00001212.12100
1117,"Child","High","M","S",1,+0024141.50,"Y",17,"267157202","6444569343588461",19610819,"1 ABBEY RD",,"DUNDEE","FL","33838","0",,,+0028822.88,97,14411,1441,+0024.25,4,7,+00000000.0000,+00001441.14400
1118,"Adult","Medium","M","S",2,+0063152.60,"Y",63,"788315003","2562321735896805",19960511,"12456 BAYPOINTE TER",,"ORELAND","PA","19075","0",,,+0029932.99,40,14966,1496,+0010.00,1,10,+00000000.0000,+00001496.64950
1119,"Adult","High","M","S",1,+0031952.00,"N",34,"800440413","7868722946042472",19630311,"447 S 186TH ST",,"MURPHYSBORO","IL","62966","0",-089.331588,+037.765924,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
1120,"Adult","Low","M","S",2,+0072084.70,"N",56,"215701225","4583495730330181",19550610,"930 N WILLIS ST",,"LOUISVILLE","KY","40210","0",-085.774623,+038.226444,+0029112.91,9,14556,1455,+0002.25,3,5,+00001455.6455,+00000000.00000
1121,"Adult","Low","F","S",0,+0042760.50,"N",52,"114972198","3751093363536380",19550102,"170 ORANGE ST STE 325",,"JEROME","ID","83338","2801",-114.508836,+042.725098,+0013471.35,40,6735,673,+0010.00,4,6,+00000673.5675,+00000000.00000
1122,"Adult","Low","F","S",1,+0049072.00,"N",42,"327211497","2011909884077405",19650805,"2401 TEE CIR",,"WEST NEW YORK","NJ","07093","0",-074.000893,+040.791777,+0023502.35,10,11751,1175,+0002.50,1,9,+00001175.1175,+00000000.00000
1123,"Adult","Low","F","M",0,+0027371.80,"Y",43,"403546405","6860689693245940",19901008,"6804 E SALISBURY RD",,"ELKINS","AR","72727","0",,,+0016141.61,126,8070,807,+0031.50,3,9,+00000807.0805,+00000000.00000
1124,"Adult","High","M","M",1,+0071472.90,"N",42,"313527387","7812017527186805",19300509,"85 CALLE A VILLA ESPERANZA",,"FORT WORTH","TX","76126","0",,,+0016021.60,114,8010,801,+0028.50,1,6,+00000000.0000,+00000801.08000
1125,"Adult","High","F","M",0,+0095405.70,"N",55,"199453475","7421409303209731",19680628,"117 N GARFIELD AVE APT 1",,"DORCHESTER","MA","02122","0",-071.054500,+042.298100,+0007740.77,6,1935,193,+0000.90,2,17,+00000000.0000,+00000387.03850
1126,"Adult","High","F","S",0,+0095786.80,"Y",52,"536920065","5274151472677030",19721031,"7 TOWER HTS",,"STAFFORD","TX","77477","0",,,+0021332.13,87,10666,1066,+0021.75,3,5,+00000000.0000,+00001066.60650
1127,"Adult","Medium","M","S",0,+0090321.60,"N",55,"105010733","8420093830144343",19430811,"6309 FERN VALLEY PASS STE 206",,"AUSTIN","TX","78745","0",-097.779728,+030.200948,+0000870.09,11,217,21,+0001.65,5,12,+00000000.0000,+00000021.75225
1128,"Adult","Low","M","D",1,+0090478.60,"N",55,"142828461","7363432941317753",19800502,"23501 W DITNER DR",,"SAINT PAUL","MN","55155","1470",,,+0018021.80,136,9010,901,+0034.00,4,8,+00000901.0900,+00000000.00000
1129,"Adult","Medium","F","M",2,+0056187.00,"N",46,"925971469","5386205129808513",19670310,"308 GARDEN ST APT 2S",,"BRIDGETON","NJ","08302","0",-075.228764,+039.440398,+0008090.81,13,2022,202,+0001.95,4,12,+00000000.0000,+00000202.27025
1130,"Young adult","High","F","S",1,+0035089.00,"N",24,"109974583","7735608978244829",19110420,"188 BDA FELIX CORDOVA DAVILA URB RIVERAS DEL BUCAN",,"KINGSTON","PA","18704","0",-075.881669,+041.256678,+0023562.36,206,11781,1178,+0051.50,3,9,+00000000.0000,+00001178.11800
1131,"Young adult","Medium","M","M",0,+0009780.66,"N",25,"323479415","5425205423869143",19180922,"12489 28TH S",,"UTUADO","PR","0641","0",,,+0002800.28,11,700,70,+0001.65,3,11,+00000000.0000,+00000070.00700
